id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;xo_prob;xo_method;has_elitism;allow_reproduction;score
61;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015EA32E0>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015EFD080>;0.7;<function swap_xo at 0x00000280152AEC00>;True;True;0.7115137
62;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x0000028015EFFBA0>;0.1;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015EA0360>;0.8;<function swap_xo at 0x00000280152AEC00>;True;False;0.24811251
63;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015E97600>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015E97CE0>;0.5;<function swap_xo at 0x00000280152AEC00>;False;False;0.90955096
64;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015F4D940>;0.2;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015E807C0>;0.5;<function swap_xo at 0x00000280152AEC00>;False;False;0.64253163
65;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [add, mul, div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015F56520>;0.05;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028015F577E0>;0.9;<function swap_xo at 0x00000280152AEC00>;True;False;0.61660874
66;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, add, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x0000028015ECCB80>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015F4D940>;0.05;<function swap_xo at 0x00000280152AEC00>;False;True;1.4851335
67;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.1, 'max_init_depth': 4, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_tournament.<locals>.tournament at 0x0000028015F6E520>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015F4EE80>;0.9;<function swap_xo at 0x00000280152AEC00>;True;True;1.0110295
68;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [div, add, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015F2E980>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015F56520>;0.7;<function swap_xo at 0x00000280152AEC00>;True;True;1.1462739
69;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 2, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x0000028015F4E160>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015F2C7C0>;0.2;<function swap_xo at 0x00000280152AEC00>;False;True;2.238359
70;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x0000028015F6E520>;0.2;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015D823E0>;0.5;<function swap_xo at 0x00000280152AEC00>;False;True;1.4257728
71;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.1, 'max_init_depth': 4, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_tournament.<locals>.tournament at 0x0000028015F2C7C0>;0.5;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x0000028015F577E0>;0.05;<function swap_xo at 0x00000280152AEC00>;True;True;2.1037965
72;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x000002801603EE80>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x0000028016035620>;0.7;<function swap_xo at 0x00000280152AEC00>;False;False;3.6029553
73;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000002801603C360>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028016007B00>;0.8;<function swap_xo at 0x00000280152AEC00>;False;False;1.0059283
74;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div, mul, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 4, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x00000280160B3A60>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x0000028016065760>;0.05;<function swap_xo at 0x00000280152AEC00>;False;True;0.37785527
75;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [add, sub, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_double_tournament.<locals>.double_tournament at 0x000002801613E160>;0.2;<function prm_point_mtn.<locals>.point_mtn at 0x0000028015F6E520>;0.2;<function swap_xo at 0x00000280152AEC00>;False;True;0.4606995
76;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.2, 'max_init_depth': 5, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x00000280161220C0>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028016035620>;0.2;<function swap_xo at 0x00000280152AEC00>;True;True;2.7006218
77;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add, sub, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_double_tournament.<locals>.double_tournament at 0x00000280160DAA20>;0.2;<function prm_point_mtn.<locals>.point_mtn at 0x0000028016121440>;0.8;<function swap_xo at 0x00000280152AEC00>;False;False;0.6085815
78;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, div, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.05;<function prm_rank_selection.<locals>.rank_selection at 0x0000028016195BC0>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x0000028016065760>;0.2;<function swap_xo at 0x00000280152AEC00>;True;False;0.7815759
79;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add, mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x0000028016143EC0>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x00000280161FC720>;0.5;<function swap_xo at 0x00000280152AEC00>;False;False;23.3604
80;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x0000028016198EA0>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028016035620>;0.9;<function swap_xo at 0x00000280152AEC00>;False;False;1.247814
81;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [mul, sub, div, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.3, 'max_init_depth': 5, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x0000028016195080>;0.15;<function prm_point_mtn.<locals>.point_mtn at 0x0000028016196C00>;0.2;<function swap_xo at 0x00000280152AEC00>;False;True;0.6354078
82;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x000002801618A480>;0.2;<function prm_point_mtn.<locals>.point_mtn at 0x00000280161CF7E0>;0.7;<function swap_xo at 0x00000280152AEC00>;True;False;1.6131489
83;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [add, mul, div], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 5, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x00000280162665C0>;0.1;<function prm_hoist_mtn.<locals>.hoist_mtn at 0x000002801618A480>;0.9;<function swap_xo at 0x00000280152AEC00>;True;False;1.3211204
84;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, div, mul, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000280162479C0>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x00000280162665C0>;0.8;<function swap_xo at 0x00000280152AEC00>;True;True;0.6568335
85;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.1, 'max_init_depth': 5, 'max_depth': 5, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_rank_selection.<locals>.rank_selection at 0x00000280161CD080>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x00000280162445E0>;0.05;<function swap_xo at 0x00000280152AEC00>;True;False;2.8789136
86;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [add, div, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.2, 'max_init_depth': 3, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_double_tournament.<locals>.double_tournament at 0x000002801628E160>;0.1;<function prm_point_mtn.<locals>.point_mtn at 0x000002801628B560>;0.9;<function swap_xo at 0x00000280152AEC00>;False;True;1.2597307
87;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.05, 'max_init_depth': 5, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x0000028016387C40>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x00000280162C1800>;0.2;<function swap_xo at 0x00000280152AEC00>;False;True;4.8932853
88;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.3, 'max_init_depth': 3, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x00000280162FE160>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000002801628CE00>;0.9;<function swap_xo at 0x00000280152AEC00>;False;False;0.37324673
89;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B3350>, 'p_constants': 0.05, 'max_init_depth': 2, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x00000280161CD080>;0.15;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x0000028016195080>;0.2;<function swap_xo at 0x00000280152AEC00>;True;False;0.5965242
90;50;10;<function full at 0x00000280152AE520>;{'n_dims': 12, 'function_set': [mul, add, sub], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x0000028014CC1850>, 'p_constants': 0.2, 'max_init_depth': 4, 'max_depth': 7, 'n_batches': 1, 'device': 'cpu'};0.4;<function prm_double_tournament.<locals>.double_tournament at 0x000002801633B420>;0.5;<function prm_subtree_mtn.<locals>.subtree_mtn at 0x000002801629C0E0>;0.8;<function swap_xo at 0x00000280152AEC00>;True;False;0.579151
91;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [div, mul, sub, add], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.3, 'max_init_depth': 2, 'max_depth': 8, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x0000028016371760>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x00000280163C0D60>;0.9;<function swap_xo at 0x00000280152AEC00>;True;True;0.5948993
92;50;10;<function grow at 0x00000280152AE340>;{'n_dims': 12, 'function_set': [sub, mul], 'constant_set': <gpolnel.operators.initializers.ERC object at 0x00000280152B32D0>, 'p_constants': 0.05, 'max_init_depth': 4, 'max_depth': 6, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x00000280162FD8A0>;0.5;<function prm_point_mtn.<locals>.point_mtn at 0x00000280163E3E20>;0.8;<function swap_xo at 0x00000280152AEC00>;False;True;2.1487486
