id;fold;best_score;best_generations
407;2;20.846452713012695;3
407;2;20.544233322143555;4
407;2;20.244632720947266;5
407;2;19.947399139404297;6
407;2;19.652301788330078;7
407;2;19.35912322998047;8
407;2;19.067657470703125;9
407;2;18.7777156829834;10
407;2;18.489124298095703;11
407;2;18.201711654663086;12
407;2;17.915332794189453;13
407;2;17.629844665527344;14
407;2;17.345117568969727;15
407;2;17.06103515625;16
407;2;16.77748680114746;17
407;2;16.4943790435791;18
407;2;16.211624145507812;19
407;2;15.929147720336914;20
407;2;15.646885871887207;21
407;2;15.364784240722656;22
407;2;15.082796096801758;23
407;2;14.800890922546387;24
407;2;14.519046783447266;25
407;2;14.237253189086914;26
407;2;13.9555025100708;27
407;2;13.673812866210938;28
407;2;13.392202377319336;29
407;2;13.110702514648438;30
407;2;12.82935619354248;31
407;2;12.548223495483398;32
407;2;12.267365455627441;33
407;2;11.986858367919922;34
407;2;11.706795692443848;35
407;2;11.42727279663086;36
407;2;11.14840030670166;37
407;2;10.870301246643066;38
407;2;10.59310531616211;39
407;2;10.316959381103516;40
407;2;10.042009353637695;41
407;2;9.768420219421387;42
407;2;9.496362686157227;43
407;2;9.226014137268066;44
407;2;8.957561492919922;45
407;2;8.691197395324707;46
407;2;8.427120208740234;47
407;2;8.165535926818848;48
407;2;7.906648635864258;49
407;3;26.788829803466797;0
407;3;26.458837509155273;1
407;3;26.129356384277344;2
407;3;25.8001651763916;3
407;3;25.471057891845703;4
407;3;25.1418399810791;5
407;3;24.812328338623047;6
407;3;24.482345581054688;7
407;3;24.15172576904297;8
407;3;23.820310592651367;9
407;3;23.48794937133789;10
407;3;23.154516220092773;11
407;3;22.819869995117188;12
407;3;22.483901977539062;13
407;3;22.146499633789062;14
407;3;21.80756950378418;15
407;3;21.467023849487305;16
407;3;21.12479591369629;17
407;3;20.780818939208984;18
407;3;20.43504524230957;19
407;3;20.087446212768555;20
407;3;19.737987518310547;21
407;3;19.386674880981445;22
407;3;19.033510208129883;23
