id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;mutation_step;xo_prob;xo_method;has_elitism;allow_reproduction;score
11;500;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001500929E980>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500761ACA0>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.67858374
12;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000150091BA020>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500929E980>;0.025;0.5;<function nn_xo at 0x00000150075CF880>;True;False;0.66510886
13;200;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x0000015009111A80>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000150091BA020>;0.025;0.5;<function nn_xo at 0x00000150075CF880>;True;False;0.85198385
14;200;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001500A5DA200>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x0000015009111A80>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;True;0.57601446
15;200;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001500A8EFE20>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500A5DA200>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.80719423
16;500;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x00000150093D6020>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500A8EFE20>;0.025;0.01;<function nn_xo at 0x00000150075CF880>;True;True;1.0619218
17;500;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, <built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001500A5618A0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x00000150093D6020>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.97247344
18;100;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001500AB8CFE0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500A5618A0>;0.05;0.5;<function nn_xo at 0x00000150075CF880>;True;False;1.0311183
19;200;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001500AB7C7C0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500AB8CFE0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;0.87995213
20;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001500B43C040>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500AB7C7C0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;0.5776864
21;200;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001500ABDCAE0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500B43C040>;0.025;0.01;<function nn_xo at 0x00000150075CF880>;True;True;1.0030627
22;200;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001500B518680>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500ABDCAE0>;0.025;0.01;<function nn_xo at 0x00000150075CF880>;True;False;1.6563966
23;500;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001500B9A3740>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500B518680>;0.025;0.5;<function nn_xo at 0x00000150075CF880>;True;False;1.0826458
24;100;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001500BBF0B80>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500B9A3740>;0.025;0.5;<function nn_xo at 0x00000150075CF880>;True;False;1.3337567
25;200;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001500C27C7C0>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500BBF0B80>;0.05;0.5;<function nn_xo at 0x00000150075CF880>;True;False;1.215466
26;100;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001500B6C6E80>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500C27C7C0>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;False;1.2441779
27;500;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [1], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500C31C680>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500B6C6E80>;0.05;0.5;<function nn_xo at 0x00000150075CF880>;True;True;1.173878
28;200;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001500C490860>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500C31C680>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;True;1.0361347
29;100;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001500D0C8680>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500C490860>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;False;0.97852725
30;200;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500D1D72E0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500D0C8680>;0.05;0.01;<function nn_xo at 0x00000150075CF880>;True;False;0.59512466
31;100;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500B46BE20>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500D1D72E0>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;True;1.8563793
32;500;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500DA31620>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500B46BE20>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.6029246
33;500;250;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500E0B04A0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500DA31620>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;False;1.159765
34;200;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001500EE5F060>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500E0B04A0>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;True;1.0521264
35;100;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_rank_selection.<locals>.rank_selection at 0x000001500DA31620>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500EE5F060>;0.05;0.5;<function nn_xo at 0x00000150075CF880>;True;False;1.8047371
36;200;50;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001500F0B98A0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500DA31620>;0.05;0.1;<function nn_xo at 0x00000150075CF880>;True;False;0.5853616
37;100;100;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [8], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001500F8F5E40>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500F0B98A0>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;True;0.8843144
38;100;500;<function nn_init at 0x000001500761AC00>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001500F877E20>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001500F8F5E40>;0.025;0.1;<function nn_xo at 0x00000150075CF880>;True;True;0.6277755
