id;ps;n_iter;initializer;sspace;selection_pressure;selection_method;mutation_prob;mutation_method;mutation_step;xo_prob;xo_method;has_elitism;allow_reproduction;score
31;500;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, <built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBA55F4C0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBA271DA0>;0.025;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.40406403
32;100;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001CFBB307EC0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBA55F4C0>;0.05;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.85049903
33;500;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBB201760>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBB307EC0>;0.05;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.17984064
34;500;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBB0E6E80>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBB201760>;0.025;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.525026
35;200;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001CFBC1D2AC0>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBB0E6E80>;0.05;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.6575109
36;100;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [4], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_tournament.<locals>.tournament at 0x000001CFBC2FDD00>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBC1D2AC0>;0.05;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.6232866
37;100;100;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [1], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.1;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBB4B53A0>;0.5;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBC2FDD00>;0.05;0.1;<function nn_xo at 0x000001CFB5D5F7E0>;True;False;0.83351403
38;200;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [3, 3], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, <built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001CFBD161800>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBB4B53A0>;0.025;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.17470619
39;200;500;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.05, 'n_hidden_neurons': [2], 'activation': [<built-in method sigmoid of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_tournament.<locals>.tournament at 0x000001CFBD1ED300>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBD161800>;0.025;0.1;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.5281974
40;500;50;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.005, 'n_hidden_neurons': [4], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.2;<function prm_tournament.<locals>.tournament at 0x000001CFBD402020>;0.9;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBD1ED300>;0.05;0.5;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.16921003
41;200;100;<function nn_init at 0x000001CFB5DAEB60>;{'input_shape': 12, 'init_factor': 0.1, 'n_hidden_neurons': [2], 'activation': [<built-in method relu of type object at 0x00007FFC103349D0>, None], 'n_output': 1, 'n_batches': 1, 'device': 'cpu'};0.3;<function prm_rank_selection.<locals>.rank_selection at 0x000001CFBC956520>;0.8;<function prm_nn_mtn.<locals>.nn_mtn at 0x000001CFBD402020>;0.025;0.01;<function nn_xo at 0x000001CFB5D5F7E0>;True;True;0.5895666
